id,text,query
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_188_48","leave in the prior reporting period) 
8 Details of Training imparted to 
the employees and workers 
on health & safety measures 
and on skill upgradation 
 
 
1. Training on health and safety can include general training 
on health and safety as well as training on specific work-
related h azards, hazardous activities, or hazardous 
situations. It can also include training on mental health. 
 
2. Training programs on skill upgradation can include both 
internal training courses and funding support for external 
training or education. 
9 Details of p erformance and 
career development review 
imparted to employees and 
workers  
Regular performance and career development review refers 
to review based on criteria known to the employee / worker 
and his or her superior. Such a review is undertaken with the 
knowledge of the employee. 
10 Health and safety 
management system 
1. Occupational health and safety risk refers to the 
combination of the likelihood of occurrence of a work -","""health and safety training"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular for Issue of Capital and Disclosure Requirements.pdf_70_24,"Page 71 of 132 
 
 
Sr. 
No. 
Particular Field Description Source for 
information 
Remarks  
22 Promoter(s) holding Pre Buyback No. of Shares & Percentage 
23 Promoter(s) tentative  holding Post Buyback No. of Shares & Percentage 
24 Stock Exchanges Name of the Exchange(s) where 
company is listed 
25 Designated Stock Exchange Name of the Exchange 
26 Company’s Broker/ Buyer Broker Name and Code of the Broker 
27 Manager(s)  to the Buyback Investment Banker 
28 Last date for the receipt of completed Tender Forms and 
other specified documents including physical share 
certificates (as applicable) by the Registrar 
Date 
29 Last date for providing Acceptance/non-Acceptance to 
the Stock Exchanges by the Registrar to the Buyback 
Date 
30 Last date for settlement of bids on the Stock Exchanges Date 
31 Last date for return of unaccepted Equity Shares by 
Stock Exchanges to Eligible Shareholders/Stock Brokers 
Date 
32 Last date for payment of consideration to Eligible 
Shareholders","""company buyback details"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_160_31","6. Number of Complaints on the following made by employees and workers: 
 FY _____ 
Current Financial Year 
FY _____ 
Previous Financial Year 
 
 
 
Filed during 
the year 
 
 
Pending 
resolution 
at the end 
of year 
Remarks 
 
Filed 
during the 
year 
Pending 
resolution 
at the end 
of year 
Remarks 
Sexual Harassment       
Discrimination at 
workplace 
      
Child Labour       
Forced 
Labour/Involuntary 
Labour 
      
Wages       
Other human rights 
related issues","""number of complaints filed by employees"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_110_25","Page 111 of 261 
 
Board of Directors’ Responsibilities for the Consolidated Financial Results 
 
These Consolidated financial results have been prepared on the basis of the consolidated annual 
financial statements.  The Holding Company’s Board of Directors are responsible for the preparation 
and presentation of these consolidated financial results that give a true and fair view of the net profit/ 
loss and other comprehensive income and other financial information of the Group including its 
associates and jointly controlled entities in accordance with th e  Indian Accounting Standards 
prescribed under Section 133 of the Act read with relevant rules issued thereunder and other 
accounting principles generally accepted in India and in compliance with Regulation 33 of the LODR 
Regulations. The respective Board  of Directors of the companies included in the Group and of its 
associates and jointly controlled entities are responsible for maintenance of adequate accounting","""Board of Directors financial reporting responsibilities"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular for Issue of Capital and Disclosure Requirements.pdf_2_7,"Chapter 9: Applications Supported by Blocked Amount (ASBA) Facility ...................... 21 
Chapter 10: Use of Unified Payment Interface (UPI) in Public Issue ...............................  29 
Chapter 11: Timeline for listing of shares in Public Issue ................................ ................ 36 
Annexure I ................................ ................................ ................................ ...............................  38 
Annexure II ................................ ................................ ................................ ..............................  41 
Annexure III................................ ................................ ................................ .............................  49 
Annexure IIIA ................................ ................................ ................................ ..........................  50","""Public Issue ASBA UPI listing timeline"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular for Issue of Capital and Disclosure Requirements.pdf_106_5,"Page 107 of 132 
 
 
2.1.5. Depository will validate the aforesaid bid details on a real time basis and send 
response to stock exchange which would be shared by st ock exchange with 
intermediary through its platform, for corrections, if any. 
2.1.6. SMS from exchange to RII for bidding: Once the bid details are uploaded on 
the stock exchange platform, the stock exchange shall send an SMS to the RII 
regarding submission of his / her application, daily at the end of day basis, during 
bidding period. For the last day of bidding, the SMS may be sent out the next 
working day. 
                                           
  
                     
2.2. The Block Process 
2.2.1. Post undertaking validation with depository, the stock exchange will, on a 
continuous basis, electronically share the bid details along with RIIs UPI ID, with 
the Sponsor Bank appointed by the issue. 
2.2.2. The Sponsor Bank will initiate a mandate request on the RII i.e. request the RII to","""stock exchange bidding process"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_258_46","by listed entities May 10, 2021 
57.  SEBI/HO/CFD/CMD-
2/P/CIR/2021/567 
Format of compliance report on Corporate 
Governance by Listed Entities May 31, 2021 
58.  
SEBI/HO/CFD/CMD1/
P/CIR/2021/602 
Holding of Annual Genera l Meeting (AGM) by top 
100 listed entities by market capitalization July 23, 2021 
59.   SEBI/HO/CFD/CMD/
CIR/P/2021/616 
Disclosure of shareholding pattern of promoter(s) 
and promoter group entities 
August 13, 
2021 
60.  SEBI/HO/CFD/CMD1/
CIR/P/2021/662 
Disclosure obligations of listed entities in relation to 
Related Party Transaction 
November 22, 
2021","""SEBI guidelines for listed entities"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular for Issue of Capital and Disclosure Requirements.pdf_129_43,"Page 130 of 132 
 
 
LIST OF RESCINDED CIRCULARS  
S. 
No. 
Date of 
Circular 
Circular No. Subject / Title 
– Qualified Institutions 
Placement of SEBI (Issue of 
Capital and Disclosure 
Requirements) Regulations, 
2018 
13.  November 23, 
2021 
SEBI/HO/CFD/DIL1/P/CIR/2021/0660  Non-compliance with certain 
provisions of SEBI (Issue of 
Capital and Disclosure 
Requirements) Regulations, 
2018 (“ICDR Regulations”) 
14.  May 19, 2022 SEBI/HO/CFD/SSEP/CIR/P/2022/66  Streamlining the Process of 
Rights Issue 
15.  February 04, 
2022 
SEBI/HO/CFD/SSEP/CIR/P/2022/14  Disclosures in the abridged 
prospectus and front cover page 
of the offer document 
16.  February 15, 
2023 
SEBI/HO/CFD/PoD-1/P/CIR/2023/29  Introduction of Issue Summary 
Document (ISD) and 
dissemination of  issue 
advertisements 
17.  August 29, 
2008 
SEBI/CFD/MB/IS/3/2008/29/08 Effective date of ASBA Process 
and clarification on clause 2.8 of 
SEBI (Disclosure and Investor 
Protection (DIP)) Guidelines, 
2000","""SEBI circulars"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_21_19","LODR Regulations. 
 
3.2 Annual secretarial compliance report: 
 
3.2.1 While the annual secretarial audit shall cover a broad check on compliance with all laws 
applicable to the entity, listed entities  shall additionally, on an annual basis, require a 
check by the PCS on compliance  of all applicable SEBI Regulations and circulars/ 
guidelines issued thereunder, consequent to which, the PCS shall submit a report to the 
listed entity in the manner specified in this Section. The format for the annual secretarial 
compliance report is specified at Annexure15 of this circular. 
 
4. The listed entities and their material subsidiaries shall provide all such documents/information 
as may be sought by the PCS for the purpose of providing a certification under the regulations 
and this Section. 
 
5. The PCS shall be guided by the instructions issued by the Board from time to time and the 
guidance issued by ICSI in this regard and undertake certifications in accordance with the","""LODR regulations secretarial compliance report"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_169_48","Environment protection act and rules thereunder (Y/N).  If not, provide details of all such non -
compliances, in the following format: 
 
S. No. Specify the law / 
regulation / 
guidelines which was 
not complied with 
Provide 
details o f 
the non -
compliance 
Any fines / 
penalties / action 
taken by regulatory 
agencies such as 
pollution control 
boards or by courts 
Corrective action  
taken, if any 
     
     
 
Leadership Indicators 
1. Water withdrawal, consumption and discharge in areas of water stress (in kilolitres): 
 
For each facility / plant located in areas of water stress, provide the following information:  
(i) Name of the area 
(ii) Nature of operations 
(iii) Water withdrawal, consumption and discharge in the following format: 
Parameter FY _____ (Current Financial 
Year) 
FY ______ (Previous 
Financial Year) 
Water withdrawal by source (in kilolitres)","""Environmental protection act compliance water withdrawal"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular on Surveillance of Securities Market.pdf_12_25,"Page 13 of 28 
 
Annexures 
Annexure 1 - Formats for Disclosures under SEBI (Prohibition of Insider Trading) Regulations, 2015 
 
FORM A1 
 
SEBI (Prohibition of Insider Trading) Regulations, 2015 [Regulation 7 (1) (b) 
read with Regulation 6(2) – Disclosure on becoming a Key Managerial 
Personnel/Director/Promoter/Member of the promoter group] 
Name of the company:      
 
ISIN of the company:    
 
Details of Securities held on appointment of Key Managerial Personnel (KMP) or  Director or upon becoming 
a Promoter or member of the promoter group of a listed company and immediate relatives of such persons 
and by other such persons as mentioned in Regulation 6(2). 
 
Name, PAN, 
CIN/DIN & 
Address with 
contact nos. 
Category of 
Person (KMP / 
Director or 
Promoter or 
member of the 
promoter group/ 
Immediate 
relative 
to/others, etc.) 
Date of 
appointment of 
KMP/Director / 
OR Date of 
becoming 
Promoter/ 
member of the 
promoter group 
Securities held at the time of","""SEBI Prohibition of Insider Trading Regulations 2015 Annexure 1 Disclosure KMP Director Promoter"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular on Surveillance of Securities Market.pdf_22_48,"of trading window closure period. As pe r the example mentioned above, 
commencement date of trading window closure period shall be October 01, 
20XX, for the quarter ending September 30, 20XX.  
 
10. In case of any addition/deletion/updation pertaining to the details of DP, the 
listed company has to follow the procedure specified in terms para 3.3.4.  
mentioned in this Master Circular  and shall be required to separately provide 
the details as mentioned at paras 3 and 4 above. Such instances shall be","""trading window closure period"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_69_4","Name (Xyz)                               NA         
(b) Foreign 
Venture 
Capital 
Investors 
                              NA         
  Name (Xyz)                               NA         
(c) Sovereign 
Wealth 
Funds 
                              NA         
  Name (Xyz)                               NA         
(d) Foreign 
Portfolio 
Investors 
Category I 
                              NA         
  Name (Xyz)                               NA         
(e) Foreign 
Portfolio 
Investors 
Category II 
                              NA         
  Name (Xyz)                               NA","""foreign investors"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_59_32","Page 60 of 261 
 
LIST OF ANNEXURES TO THE SEBI MASTER CIRCULAR DATED JULY11, 2023 
Annexure 
No. 
Subject Page 
Number 
1.  Format of Uniform Listing Agreement 62-64 
2.  Format of disclosure of shareholding pattern of a listed entity 65-78 
3.  Format for Compliance Report on Corporate Governance to be 
submitted by a listed entity on a quarterly basis 
79-81 
4.  Format for Compliance Report on Corporate Governance to be 
submitted by a listed entity at the end of the financial year (for the whole 
of financial year) 
82-85 
5.  Format for Compliance Report on Corporate Governance to be 
submitted by a listed entity at the end of 6 months after  close of the 
financial year along-with second quarter report of the next financial year 
86 
6.  Format for disclosure of loans / guarantees / comfort letters / securities 
etc. to be submitted twice a year, on a half yearly basis , by the listed 
entity at the end of every 6 months of the financial year 
87-88","""SEBI Master Circular Annexures"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_174_7","Page 175 of 261 
 
 
 
Location 
FY _____ 
Current Financial Year 
FY _____ 
Previous Financial Year 
Rural   
Semi-urban   
Urban   
Metropolitan   
Leadership Indicators 
1. Provide details of actions taken to mitigate any negative social impacts identified in the Social 
Impact Assessments (Reference: Question 1 of Essential Indicators above): 
 
Details of negative social impact identified  Corrective action taken  
   
 
2. Provide the following information on CSR projects undertaken by your entity in designated 
aspirational districts as identified by government bodies: 
 
S. No. State  Aspirational District  Amount spent (In INR) 
    
    
3. (a) Do you have a preferential procurement policy where you give preference to purchase from 
suppliers comprising marginalized /vulnerable groups? (Yes/No)  
(b) From which marginalized /vulnerable groups do you procure?  
(c) What percentage of total procurement (by value) does it constitute?","""social impact assessment mitigation csr projects procurement marginalized groups"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_147_2","financial year: 
Segment Total number of 
training and 
awareness 
programmes held 
Topics / 
principles 
covered under 
the training and 
its impact 
%age of persons in 
respective category 
covered by the 
awareness 
programmes 
Board of 
Directors 
   
Key 
Managerial 
Personnel 
   
Employees 
other than 
BoD and 
KMPs 
   
Workers    
 
2. Details of fines / penalties /punishment/ award/ compounding fees/ settlement amount paid in 
proceedings (by the entity or by directors / KMPs)  with regulators/ law enforcement agencies/ 
judicial institutions, in the financial year , in the following format (Note: the entity shall make 
disclosures on the basis of materiality as specified in Regulation 30 of SEBI (Listing Obligations and 
Disclosure Obligations) Regulations, 2015 and as disclosed on the entity’s website):  
 
Monetary 
 NGRBC 
Principle 
Name of the 
regulatory/enforcement 
agencies/ judicial 
institutions 
Amount 
(In INR) 
Brief of the 
Case  
Has an appeal 
been","""financial year training awareness programmes directors KMPs employees workers fines penalties settlement amount"""
/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master Circular on Surveillance of Securities Market.pdf_10_22,"Page 11 of 28 
 
and their immediate relatives shall not trade in securities when the 
trading window is closed”. 
3.4.2.2. One of the instances of closure of trading window is provided in 
Clause 4 (2) of Schedule B read with Regulation 9 of PIT Regulations, 
which inter-alia states that “trading restriction period shall be made 
applicable from the end of every quarter till 48 hours after the 
declaration of financial results…...” 
3.4.2.3. In order to rationalize the compliance requirement under Clause 4 of 
Schedule B read with Regulation 9 of PIT Regulations, improve ease 
of doing business and prevent inadvertent non -compliances of 
provisions of PIT Regulations by DPs, stock exchanges and 
depositories shall develop a system to restrict trading by DPs of listed 
company during trading window closure period. 
3.4.2.4. The framework for freezing of PAN of DPs at security level shall apply 
to  trading window closure due to declaration of financial results of the","""trading window closure period for securities"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_186_39","Page 187 of 261 
 
PRINCIPLE 2 Businesses should provide goods and services in a manner that is sustainable 
and safe 
Essential Indicators 
Q. 
No. Field Name Instruction/Guidance 
2. Sustainable 
sourcing 
1. “Sustainable Sourcing” essentially refers the integration of social, 
ethical and environmental performance factors into the process of 
selecting suppliers. 
 
2. Under this field, the entity shall indicate what proportion of its 
inputs (by quantity or  value – please specify) are sourced from 
suppliers who are either covered by the company’s sustainable 
sourcing programmes and/or are certified to be compliant with 
social and environmental standards such as SA 8000, ISO 14001, 
OHSAS 18001 or relevant lab els like Rainforest Alliance, 
Rugmark, RSPO etc. 
3. Processes in place 
to reclaim products 
for reuse, recycle 
and safe disposal of 
products at the end 
of life 
1. Reclaiming refers to collecting products and their packaging","""sustainable sourcing"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_17_5","f. If the transaction relates to any loans, inter-corporate deposits, advances or investments 
made or given by the listed entity or its subsidiary: 
i. details of the source of funds in connection with the proposed transaction; 
ii. where any financial indebtedness is incurred to make or give loans, interoperate 
deposits, advances or investments, 
 nature of indebtedness; 
 cost of funds; and 
 tenure; 
iii. applicable terms, including covenants, tenure, interest rate and repayment 
schedule, whether secured or unsecured; if secured, the nature of security; and 
iv. the purpose for which the funds will be utilized by the ultimate beneficiary of such 
funds pursuant to the RPT. 
                                                           
12SEBI/HO/CFD/CMD1/CIR/P/2021/662 dated November 22, 2021 (effective from April 1, 2022 ; the submission 
from the half year ended March 31, 2022 or thereafter was in the new format );","""loans investments securities transactions reporting requirements"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_193_13","Page 194 of 261 
 
shall be deemed to form part o f the wages of such 
employee 
Ref- 
https://labour.gov.in/sites/default/files/THE%20CO
DE%20ON%20WAGES%2C%202019%20No.%20
29%20of%202019.pdf 
6 Disclosure of complaints 
made by employees and 
workers on sexual 
harassment, discrimination at 
workplace, Child Labour, 
Forced Labour/Involuntary 
Labour, Wages or other 
human rights related issues 
1. ‘Sexual Harassment’ includes any one or more 
of the foll owing unwelcome acts or behaviour 
(whether directly or by implication) namely: 
i. physical contact and advances 
ii. a demand or request for sexual favours 
iii. making sexually coloured remarks 
iv. showing pornography 
v. any other unwelcome physical, verbal or 
non-verbal conduct of sexual nature 
 
2. ‘Discrimination’ refers to unjust or prejudicial 
treatment of people, especially on the grounds 
of, but not limited to, caste, creed, sex, race, 
ethnicity, age, colour, religion, disability, socio -","""Indian labor laws wages sexual harassment discrimination"""
"/Users/midhunln/Documents/rag20march_with_eval/Ingestion_plus_Retriever_eval/Documents/Master circular for compliance with the provisions of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 by listed entities.pdf_209_5","CPCB 
Principle 6, 
Question 9 of 
Essential Indicators 
Total waste generated ((A+B + C + 
D + E + F + G + H) Kg / MT self-explanatory 
Principle 6, 
Question 9 of 
Essential Indicators 
Waste intensity 
Kg or MT / Rupee 
adjusted for PPP 
1. Total waste generated 
2. Total Revenue from Operations (from 
audited P&L) 
3. PPP (USD / INR) 
Principle 6, 
Question 9 of 
Essential Indicators 
Kg or MT / Unit of 
Product or Service 
1. Total waste generated 
2. Company & Sector Specific (i.e., No. of 
Vehicles Produced, MT of Material 
Produced, Data in Mn TB, No. of Seats / 
Travel Class etc) 
Principle 6, 
Question 9 of 
Essential Indicators 
Each category of waste generated, 
total waste recovered through 
recycling, re-using or other recovery 
operations 
Kg or MT Absolute quantity Principle 6, 
Question 9 of 
Essential Indicators 
Intensity 
Kg of Waste Recycled Recovered /Total 
Waste generated 
 
Disclosure may be provided if certificates 
from vendors have been relied upon for",total waste generated per rupee
